KEY,FREQ,REF_AREA,CES_BREAKDOWN,CES_CUSTOM,CES_VARIABLE,CES_ANSWER,CES_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,COMPILATION,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2022-04,0,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2022-05,0,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2022-06,0,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2022-07,0,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2022-08,0.1,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2022-09,0,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2022-10,0.1,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2022-11,0,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2022-12,0.1,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2023-01,0.1,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2023-02,0.1,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C3220.NUM_VAR.WM,M,Z18,ALL,T,C3220,NUM_VAR,WM,2023-03,0.1,A,F,,,P1M,,U,,,,1,"Household income expectations 12 months ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Household income expectations 12 months ahead (% change) - Numeric variable - Weighted median",PN,0
