KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,MATURITY_NOT_IRATE,DATA_TYPE_MIR,AMOUNT_CAT,BS_COUNT_SECTOR,CURRENCY_TRANS,IR_BUS_COV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2017-08,45333.15,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2017-09,45041.39,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2017-10,46526.9,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2017-11,49040.95,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2017-12,53262.9,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-01,48099.88,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-02,45318.25,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-03,52206.17,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-04,50649.99,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-05,52042.5,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
