TIME_PERIOD,OBS_VALUE,FREQ,FREQ_LABEL,GEO,GEO_LABEL,INDIC,INDIC_LABEL,SOURCE_URL,S_ADJ,S_ADJ_LABEL,TITLE,UNIT,UNIT_LABEL
1996-04,-1.0,M,Monthly,EA20,Euro area – 20 countries (2023-2025),BS-SEEM-BAL,Employment expectations over the next 3 months - services,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsee_m_r2?geo=EA20&indic=BS-SEEM-BAL&s_adj=SA&unit=BAL,SA,"Seasonally adjusted data, not calendar adjusted data",Employment expectations indicators - monthly data,BAL,Balance
1996-05,0.2,M,Monthly,EA20,Euro area – 20 countries (2023-2025),BS-SEEM-BAL,Employment expectations over the next 3 months - services,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsee_m_r2?geo=EA20&indic=BS-SEEM-BAL&s_adj=SA&unit=BAL,SA,"Seasonally adjusted data, not calendar adjusted data",Employment expectations indicators - monthly data,BAL,Balance
1996-06,1.3,M,Monthly,EA20,Euro area – 20 countries (2023-2025),BS-SEEM-BAL,Employment expectations over the next 3 months - services,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsee_m_r2?geo=EA20&indic=BS-SEEM-BAL&s_adj=SA&unit=BAL,SA,"Seasonally adjusted data, not calendar adjusted data",Employment expectations indicators - monthly data,BAL,Balance
1996-07,3.5,M,Monthly,EA20,Euro area – 20 countries (2023-2025),BS-SEEM-BAL,Employment expectations over the next 3 months - services,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsee_m_r2?geo=EA20&indic=BS-SEEM-BAL&s_adj=SA&unit=BAL,SA,"Seasonally adjusted data, not calendar adjusted data",Employment expectations indicators - monthly data,BAL,Balance
1996-08,5.2,M,Monthly,EA20,Euro area – 20 countries (2023-2025),BS-SEEM-BAL,Employment expectations over the next 3 months - services,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsee_m_r2?geo=EA20&indic=BS-SEEM-BAL&s_adj=SA&unit=BAL,SA,"Seasonally adjusted data, not calendar adjusted data",Employment expectations indicators - monthly data,BAL,Balance
1996-09,6.8,M,Monthly,EA20,Euro area – 20 countries (2023-2025),BS-SEEM-BAL,Employment expectations over the next 3 months - services,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsee_m_r2?geo=EA20&indic=BS-SEEM-BAL&s_adj=SA&unit=BAL,SA,"Seasonally adjusted data, not calendar adjusted data",Employment expectations indicators - monthly data,BAL,Balance
1996-10,8.3,M,Monthly,EA20,Euro area – 20 countries (2023-2025),BS-SEEM-BAL,Employment expectations over the next 3 months - services,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsee_m_r2?geo=EA20&indic=BS-SEEM-BAL&s_adj=SA&unit=BAL,SA,"Seasonally adjusted data, not calendar adjusted data",Employment expectations indicators - monthly data,BAL,Balance
1996-11,8.0,M,Monthly,EA20,Euro area – 20 countries (2023-2025),BS-SEEM-BAL,Employment expectations over the next 3 months - services,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsee_m_r2?geo=EA20&indic=BS-SEEM-BAL&s_adj=SA&unit=BAL,SA,"Seasonally adjusted data, not calendar adjusted data",Employment expectations indicators - monthly data,BAL,Balance
1996-12,7.5,M,Monthly,EA20,Euro area – 20 countries (2023-2025),BS-SEEM-BAL,Employment expectations over the next 3 months - services,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsee_m_r2?geo=EA20&indic=BS-SEEM-BAL&s_adj=SA&unit=BAL,SA,"Seasonally adjusted data, not calendar adjusted data",Employment expectations indicators - monthly data,BAL,Balance
1997-01,6.5,M,Monthly,EA20,Euro area – 20 countries (2023-2025),BS-SEEM-BAL,Employment expectations over the next 3 months - services,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ei_bsee_m_r2?geo=EA20&indic=BS-SEEM-BAL&s_adj=SA&unit=BAL,SA,"Seasonally adjusted data, not calendar adjusted data",Employment expectations indicators - monthly data,BAL,Balance
