TIME_PERIOD,OBS_VALUE,FREQ,FREQ_LABEL,GEO,GEO_LABEL,INDIC_BT,INDIC_BT_LABEL,NACE_R2,NACE_R2_LABEL,SOURCE_URL,S_ADJ,S_ADJ_LABEL,TITLE,UNIT,UNIT_LABEL
2000-01,62.4,M,Monthly,DE,Germany,WAGE,Wages and salaries,B-E36,"Industry (except construction, sewerage, waste management and remediation activities)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inlb_m?geo=DE&indic_bt=WAGE&nace_r2=B-E36&s_adj=NSA&unit=I21,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Labour input in industry - monthly data,I21,"Index, 2021=100"
2000-02,62.3,M,Monthly,DE,Germany,WAGE,Wages and salaries,B-E36,"Industry (except construction, sewerage, waste management and remediation activities)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inlb_m?geo=DE&indic_bt=WAGE&nace_r2=B-E36&s_adj=NSA&unit=I21,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Labour input in industry - monthly data,I21,"Index, 2021=100"
2000-03,63.1,M,Monthly,DE,Germany,WAGE,Wages and salaries,B-E36,"Industry (except construction, sewerage, waste management and remediation activities)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inlb_m?geo=DE&indic_bt=WAGE&nace_r2=B-E36&s_adj=NSA&unit=I21,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Labour input in industry - monthly data,I21,"Index, 2021=100"
2000-04,64.3,M,Monthly,DE,Germany,WAGE,Wages and salaries,B-E36,"Industry (except construction, sewerage, waste management and remediation activities)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inlb_m?geo=DE&indic_bt=WAGE&nace_r2=B-E36&s_adj=NSA&unit=I21,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Labour input in industry - monthly data,I21,"Index, 2021=100"
2000-05,69.5,M,Monthly,DE,Germany,WAGE,Wages and salaries,B-E36,"Industry (except construction, sewerage, waste management and remediation activities)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inlb_m?geo=DE&indic_bt=WAGE&nace_r2=B-E36&s_adj=NSA&unit=I21,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Labour input in industry - monthly data,I21,"Index, 2021=100"
2000-06,70.3,M,Monthly,DE,Germany,WAGE,Wages and salaries,B-E36,"Industry (except construction, sewerage, waste management and remediation activities)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inlb_m?geo=DE&indic_bt=WAGE&nace_r2=B-E36&s_adj=NSA&unit=I21,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Labour input in industry - monthly data,I21,"Index, 2021=100"
2000-07,65.4,M,Monthly,DE,Germany,WAGE,Wages and salaries,B-E36,"Industry (except construction, sewerage, waste management and remediation activities)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inlb_m?geo=DE&indic_bt=WAGE&nace_r2=B-E36&s_adj=NSA&unit=I21,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Labour input in industry - monthly data,I21,"Index, 2021=100"
2000-08,64.7,M,Monthly,DE,Germany,WAGE,Wages and salaries,B-E36,"Industry (except construction, sewerage, waste management and remediation activities)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inlb_m?geo=DE&indic_bt=WAGE&nace_r2=B-E36&s_adj=NSA&unit=I21,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Labour input in industry - monthly data,I21,"Index, 2021=100"
2000-09,64.1,M,Monthly,DE,Germany,WAGE,Wages and salaries,B-E36,"Industry (except construction, sewerage, waste management and remediation activities)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inlb_m?geo=DE&indic_bt=WAGE&nace_r2=B-E36&s_adj=NSA&unit=I21,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Labour input in industry - monthly data,I21,"Index, 2021=100"
2000-10,66.1,M,Monthly,DE,Germany,WAGE,Wages and salaries,B-E36,"Industry (except construction, sewerage, waste management and remediation activities)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inlb_m?geo=DE&indic_bt=WAGE&nace_r2=B-E36&s_adj=NSA&unit=I21,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Labour input in industry - monthly data,I21,"Index, 2021=100"
