TIME_PERIOD,OBS_VALUE,AGE,AGE_LABEL,FREQ,FREQ_LABEL,GEO,GEO_LABEL,SEX,SEX_LABEL,SOURCE_URL,S_ADJ,S_ADJ_LABEL,TITLE,UNIT,UNIT_LABEL
2000-01,9.5,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-02,9.5,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-03,9.4,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-04,9.3,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-05,9.3,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-06,9.2,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-07,9.2,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-08,9.2,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-09,9.1,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-10,9.0,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-11,9.0,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2000-12,8.9,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-01,8.8,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-02,8.8,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-03,8.7,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-04,8.7,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-05,8.8,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-06,8.7,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-07,8.7,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
